1020,61,1.51
991,90,1.63
1002,79,1.48
963,118,2.09
986,95,1.72
991,90,1.64
992,89,1.64
967,114,2.03
981,100,1.84
996,85,1.55
993,8,0.26
993,8,0.25
993,8,0.26
993,8,0.26
993,8,0.25
993,8,0.26
993,8,0.27
993,8,0.26
993,8,0.26
993,8,0.27
962,39,0.78
914,87,1.58
963,38,0.75
965,36,0.73
916,85,1.55
976,25,0.54
988,13,0.34
965,36,0.73
947,54,1.02
931,70,1.28
786,215,4.66
641,360,7.13
792,209,4.45
793,208,4.34
781,220,4.59
799,202,3.83
798,203,3.89
782,219,4.45
805,196,3.74
525,476,9.32
766,235,10.96
766,235,12.75
763,238,10.33
769,232,10.70
705,296,11.00
765,236,10.27
789,212,9.79
698,303,12.50
768,233,10.21
752,249,11.74
877,124,3.54
645,356,10.60
902,99,2.64
781,220,6.48
902,99,2.80
874,127,4.88
756,245,7.40
899,102,3.17
920,81,2.28
911,90,3.39
-35,1036,25.07
137,864,23.73
181,820,20.73
193,808,20.03
179,822,24.35
-485,1486,38.42
101,900,24.54
181,820,22.50
179,822,22.63
183,818,20.26
906,95,3.63
866,135,8.25
880,121,10.78
870,131,4.95
858,143,5.19
827,174,6.41
841,160,5.23
826,175,5.63
910,91,5.72
909,92,3.54
986,15,0.60
987,14,0.56
989,12,0.52
987,14,0.58
987,14,0.57
986,15,0.59
986,15,0.59
985,16,0.60
986,15,0.59
986,15,0.59
