1049,132,3.59
1058,123,2.83
1044,137,2.94
1059,122,2.57
1030,151,3.24
1040,141,3.25
1043,138,2.93
1038,143,2.98
1064,117,2.55
1040,141,2.91
733,448,8.20
903,278,5.24
833,348,6.47
825,356,6.53
800,381,7.02
832,349,6.50
815,366,6.91
796,385,6.98
832,349,6.85
821,360,6.75
1121,100,2.08
1101,120,2.44
1120,101,2.07
1125,96,2.05
1095,126,2.56
1102,119,2.41
1085,136,2.66
1114,107,2.20
1128,93,1.94
1113,108,2.27
898,343,8.45
955,286,7.48
931,310,7.39
891,350,8.43
927,314,7.33
908,333,8.08
986,255,6.48
966,275,6.97
652,589,12.50
955,286,7.41
803,798,24.32
399,1202,40.06
671,930,32.89
658,943,27.64
844,757,23.83
776,825,24.79
716,885,31.78
615,986,38.89
622,979,34.01
532,1069,31.31
1279,382,21.90
1164,497,24.54
1295,366,21.83
1304,357,21.32
1237,424,27.89
1305,356,22.20
1154,507,25.09
1295,366,22.64
1281,380,21.78
1291,370,22.45
243,758,18.36
81,920,22.91
186,815,21.52
247,754,20.97
-35,1036,25.43
-1202,2203,63.58
-249,1250,30.92
81,920,21.56
81,920,22.64
247,754,18.04
942,59,2.35
812,189,6.02
855,146,5.26
943,58,2.48
935,66,2.52
943,58,2.54
929,72,2.84
945,56,2.40
941,60,2.38
869,132,5.05
990,11,0.56
994,7,0.50
976,25,0.80
994,7,0.51
994,7,0.52
994,7,0.54
980,21,0.75
986,15,0.65
960,41,1.07
992,9,0.56
