1044,117,5.09
1049,112,4.32
1086,75,3.21
1027,134,4.89
1070,91,3.69
1020,141,4.62
1018,143,5.13
1018,143,4.40
1067,94,3.64
1041,120,4.19
928,253,6.52
1085,96,3.88
857,324,7.18
905,276,7.61
988,193,7.36
946,235,6.30
763,418,14.25
1031,150,5.03
1050,131,4.09
880,301,8.60
1049,172,7.39
1051,170,6.56
1055,166,7.52
1023,198,7.77
1058,163,5.93
1067,154,6.26
1096,125,5.71
1059,162,7.04
1059,162,6.72
1072,149,7.28
852,389,23.62
808,433,24.09
843,398,28.70
662,579,35.15
913,328,18.89
559,682,38.12
643,598,28.19
762,479,32.62
783,458,27.55
758,483,30.62
847,754,75.80
767,834,98.89
1078,523,69.36
794,807,95.86
1076,525,64.71
1136,465,73.89
1115,486,73.31
1146,455,80.90
885,716,87.14
836,765,107.33
1135,526,132.69
1216,445,117.82
1277,384,129.36
1199,462,134.73
1295,366,113.24
1172,489,149.12
1220,441,124.24
1281,380,124.54
1075,586,137.86
1287,374,139.64
247,754,29.54
183,818,33.14
183,818,34.18
247,754,28.57
179,822,31.77
179,822,34.05
179,822,34.43
-135,1136,44.26
-1202,2203,98.00
247,754,30.90
912,89,4.63
857,144,6.77
840,161,7.60
969,32,2.10
901,100,4.98
945,56,3.12
858,143,6.98
818,183,8.71
879,122,6.65
835,166,8.07
978,23,0.77
982,19,0.67
994,7,0.47
980,21,0.70
990,11,0.53
994,7,0.47
994,7,0.48
986,15,0.60
986,15,0.61
994,7,0.49
